ORIGIN_AIRPORT,DESTINATION_AIRPORT,AIRLINE,DISTANCE,ARRIVAL_DELAY,DAY_OF_WEEK,SCHEDULED_DEPARTURE
ANC,SEA,AS,1448.0,-22.0,4,5
LAX,PBI,AA,2330.0,-9.0,4,10
SFO,CLT,US,2296.0,5.0,4,20
LAX,MIA,AA,2342.0,-9.0,4,20
SEA,ANC,AS,1448.0,-21.0,4,25
SFO,MSP,DL,1589.0,8.0,4,25
LAS,MSP,NK,1299.0,-17.0,4,25
LAX,CLT,US,2125.0,-10.0,4,30
SFO,DFW,AA,1464.0,-13.0,4,30
LAS,ATL,DL,1747.0,-15.0,4,30
DEN,ATL,DL,1199.0,-30.0,4,30
LAS,MIA,AA,2174.0,-10.0,4,35
LAX,MSP,DL,1535.0,-4.0,4,35
SLC,ATL,DL,1590.0,-22.0,4,40
SEA,MSP,DL,1399.0,8.0,4,40
ANC,SEA,AS,1448.0,-14.0,4,45
ANC,SEA,DL,1448.0,-24.0,4,45
SFO,IAH,UA,1635.0,-7.0,4,48
ANC,PDX,AS,1542.0,-18.0,4,50
PDX,MSP,DL,1426.0,-12.0,4,50
LAS,MCI,NK,1139.0,6.0,4,55
SEA,MIA,AA,2724.0,1.0,4,100
LAS,DFW,NK,1055.0,-1.0,4,103
LAX,MIA,AA,2342.0,-12.0,4,105
LAS,MSP,DL,1299.0,-23.0,4,105
LAX,IAH,UA,1379.0,-11.0,4,115
FAI,SEA,AS,1533.0,-3.0,4,115
MSP,FLL,NK,1487.0,25.0,4,115
LAS,CLT,US,1916.0,-31.0,4,120
DEN,MIA,AA,1709.0,2.0,4,120
PHX,ORD,NK,1440.0,43.0,4,125
PHX,MIA,AA,1972.0,-16.0,4,127
ANC,SEA,AS,1448.0,0.0,4,135
SLC,ATL,DL,1590.0,10.0,4,140
LAS,IAH,NK,1222.0,-4.0,4,144
LAS,HNL,HA,2762.0,15.0,4,145
ANC,PHX,US,2552.0,-10.0,4,152
SJU,EWR,UA,1608.0,-11.0,4,154
ANC,SEA,AS,1448.0,-35.0,4,155
SJU,JFK,B6,1598.0,11.0,4,155
PBG,FLL,NK,1334.0,-33.0,4,155
